Date,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Revenue,Discount,Profit,Cost
31/12/2023,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,823,17,508,315
31/12/2023,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1404,396,729,675
31/12/2023,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,21,4,11,10
31/12/2023,France,Essonne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,14,1,8,6
31/12/2023,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,98,2,58,40
31/12/2023,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,93,2,55,38
31/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Mountain Bottle Cage,12,4,10,115,5,67,48
31/12/2023,Australia,Victoria,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,12,3,6,6
31/12/2023,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,48,7,26,22
31/12/2023,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,117,18,63,54
31/12/2023,United States,California,Accessories,Fenders,Fender Set - Mountain,16,8,22,345,7,217,128
31/12/2023,Germany,Hamburg,Accessories,Fenders,Fender Set - Mountain,20,8,22,409,31,249,160
31/12/2023,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,21,8,22,457,5,289,168
31/12/2023,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",23,9,24,546,6,339,207
31/12/2023,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",25,9,24,588,12,363,225
31/12/2023,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",18,9,24,423,9,261,162
31/12/2023,United States,Ohio,Clothing,Gloves,"Half-Finger Gloves, L",24,9,24,495,81,279,216
31/12/2023,United States,Ohio,Clothing,Gloves,"Half-Finger Gloves, L",23,9,24,475,77,268,207
31/12/2023,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",5,13,35,173,2,108,65
31/12/2023,Germany,Nordrhein-Westfalen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",10,42,54,470,70,50,420
31/12/2023,Australia,Queensland,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",3,38,50,126,24,12,114
31/12/2023,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,4037,603,1505,2532
31/12/2023,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,3993,597,1489,2504
31/12/2023,France,Nord,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,669,100,249,420
31/12/2023,France,Essonne,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,2345,98,790,1555
31/12/2023,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443,2125,318,570,1555
31/12/2023,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701,2960,442,794,2166
31/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,LL Road Tire,7,8,21,146,1,90,56
31/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,LL Road Tire,21,8,21,437,4,269,168
31/12/2023,Australia,South Australia,Accessories,Tires and Tubes,Touring Tire Tube,4,2,5,16,4,8,8
31/12/2023,Australia,New South Wales,Accessories,Tires and Tubes,HL Road Tire,15,12,33,431,64,251,180
31/12/2023,Germany,Hamburg,Accessories,Tires and Tubes,Mountain Tire Tube,9,2,5,42,3,24,18
31/12/2023,Australia,Victoria,Accessories,Tires and Tubes,ML Mountain Tire,7,11,30,166,44,89,77
31/12/2023,Australia,Victoria,Accessories,Tires and Tubes,ML Mountain Tire,15,11,30,356,94,191,165
31/12/2023,Germany,Brandenburg,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,26,0,13,13
31/12/2023,France,Hauts de Seine,Accessories,Tires and Tubes,LL Mountain Tire,4,9,25,93,7,57,36
31/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2,17,1,8,9
31/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,12,0,6,6
31/12/2023,France,Nord,Accessories,Tires and Tubes,ML Road Tire,23,9,25,500,75,293,207
31/12/2023,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,12,1,4,40,8,28,12
31/12/2023,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,9,1,4,30,6,21,9
31/12/2023,United States,California,Accessories,Tires and Tubes,Road Tire Tube,24,1,4,94,2,70,24
31/12/2023,United States,Washington,Accessories,Tires and Tubes,Road Tire Tube,8,1,4,25,7,17,8
31/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,12,2,5,58,2,34,24
31/12/2023,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,27,1,2,42,12,15,27
31/12/2023,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,823,17,508,315
31/12/2023,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1404,396,729,675
31/12/2023,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,21,4,11,10
31/12/2023,France,Essonne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,14,1,8,6
31/12/2023,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,98,2,58,40
31/12/2023,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,93,2,55,38
31/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Mountain Bottle Cage,12,4,10,115,5,67,48
31/12/2023,Australia,Victoria,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,12,3,6,6
31/12/2023,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,48,7,26,22
31/12/2023,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,117,18,63,54
31/12/2023,United States,California,Accessories,Fenders,Fender Set - Mountain,16,8,22,345,7,217,128
31/12/2023,Germany,Hamburg,Accessories,Fenders,Fender Set - Mountain,20,8,22,409,31,249,160
